Month:11
Total Dates, Total Places
 32, 61
Place, Count
9 Shipway Rd(Rental), 66
Dermatologist(Contract Work), 25
43 Blueberry Ln, 12
University of Connecticut-Stamford Campus, 6
Darien, 5
The Home Depot, 3
Grand Central Terminal, 3
Darien High School, 2
Casa Villa Restaurant, 2
Taco Bell, 2
Stamford Town Center, 2
Colony Grill, 2
Noroton Heights, 2
Starbucks, 2
The Melting Pot, 1
Post Road Plaza, 1
Children's Medical Group of Greenwich, 1
Greenwich High School, 1
Vinny's Backyard Restaurant and Bar, 1
Tigin Irish Pub, 1
Darien Senior Programs, 1
Ox Ridge Hunt Club, 1
South End, 1
Caffè Nero, 1
Downtown, 1
Little Thai Kitchen, 1
Fulton Street Station, 1
The Fulton Center, 1
The Roosevelt Hotel, 1
Middlesex Middle School, 1
Trumbull Continuing Education, 1
Bridgeport Hospital, 1
Family Auto Body Inc, 1
Shake Shack, 1
Yale New Haven Children's Hospital Pediatric Specialty Center - Norwalk, 1
Minar Indian Restaurant, 1
49 St Subway Station, 1
IEX Group, 1
Buffalo Wild Wings, 1
Wee Burn Country Club Inc, 1
Darien Town Hall, 1
Ring's End, 1
Walgreens, 1
Walmart, 1
Weed Beach Tennis, 1
Stop & Shop, 1
Darien Butcher Shop, 1
Best Buy, 1
undefined, 1
43 Oak Point Dr S, 1
Sergios, 1
Stamford Barbershop, 1
Bow Tie Cinemas Regent, 1
CVS, 1
Darien Diner, 1
Jennifer's Kitchen @ White Bridge, 1
Darien Library, 1
ShopRite of Shippan Ave- Stamford, CT, 1
Merritt On the River, 1
BevMax, 1
28 Intervale Rd, 1
