Month:10
Total Dates, Total Places
 31, 44
Place, Count
9 Shipway Rd(Rental), 51
43 Blueberry Ln, 39
Dermatologist(Contract Work), 25
University of Connecticut-Stamford Campus, 9
Darien High School, 6
Darien, 5
Ring's End, 4
Vinny's Backyard Restaurant and Bar, 3
The Home Depot, 3
Casa Villa Restaurant, 3
4 Christie Hill Rd, 2
Walgreens, 2
Hair Bow Beauty Supply, 2
Subway, 2
99 Allen St, 2
Ambrogio, Pletter & Associates, LLC, 1
Fairfield Warde High School, 1
Chick-fil-A, 1
Donut Delight, 1
Dental Permanente of Stamford, 1
Shell, 1
St. Thomas More Church, 1
20 Plymouth Rd, 1
MathWorks – Apple Hill Campus, 1
The Center at Hobbs Brook, 1
Shake Shack, 1
Staples High School, 1
Glenbrook Shopping Center, 1
Nick's Pizza, 1
Piedmont Associates Inc, 1
Revive Center For Wellness, 1
Naramake Elementary School, 1
Diamond Nation, 1
Whole Foods Market, 1
223 Middlesex Rd, 1
Waveny Park, 1
Darien Recycling and Refuse Center, 1
Cantina Mexicana, 1
Noroton Heights, 1
Grand Central Terminal, 1
MetLife Building, 1
253 Tokeneke Rd, 1
The SoNo Collection, 1
495 Middlesex Rd, 1
