Month:10
Total Dates, Total Places
 31, 39
Place, Count
43 Blueberry Ln, 82
9 Shipway Rd(Rental), 41
Dermatologist(Contract Work), 21
Royle Elementary School, 10
University of Connecticut-Stamford Campus, 9
The Home Depot, 7
Ring's End, 6
Revive Center For Wellness, 4
Darien, 3
Darien High School, 2
9 Shipway Rd(Rental)), 2
Walgreens, 2
Casa Villa Restaurant, 2
Greenwich High School, 2
Ambrogio, Pletter & Associates, LLC, 2
Ox Ridge Elementary School, 1
Sunshine Cuisine, 1
Darien Diner, 1
Goodwives Shopping Center, 1
Vinny's Backyard Restaurant and Bar, 1
Tokeneke Elementary School, 1
I-95 Fairfield Ct Service Plaza, 1
Shell, 1
Hoyt Cemetery, 1
Mama Carmela's Deli, 1
17 Plymouth Rd, 1
Stamford Hospital - Bennett Medical Center, 1
28 Intervale Rd, 1
CVS, 1
BonBon Hair Studio, 1
Darien Valero, 1
Stamford Plaza, 1
Darien Sport Shop, 1
I-95 Darien NB Service Plaza, 1
Staples High School, 1
Glory Days Diner, 1
Starbucks, 1
Darien Town Hall, 1
AutoZone Auto Parts, 1
