Month:9
Total Dates, Total Places
 30, 39
Place, Count
43 Blueberry Ln, 72
Dermatologist(Contract Work), 29
Darien High School, 10
Casa Villa Restaurant, 9
University of Connecticut-Stamford Campus, 9
Royle Elementary School(Football Practice), 7
Darien, 5
McDonald's, 2
9 Shipway Rd(Rental), 2
CVS, 2
Revive Center For Wellness, 2
Ox Ridge Elementary School, 2
Standard, 1
Saugatuck Elementary School, 1
Crescendo Music, 1
Cornell University Veterinary Specialists, 1
Brooks Bros Contracting, 1
Yale New Haven Children's Hospital Pediatric Specialty Center - Norwalk, 1
Shell, 1
Walgreens, 1
Fairfield University, 1
Shake Shack, 1
Tiger Hollow Stadium, 1
Goodwives River, 1
Chelsea Piers Fitness, 1
Rinaldi's Deli Grill, 1
Piedmont Associates Inc, 1
Riko's Pizza, 1
Vinny's Backyard Restaurant and Bar, 1
Noroton Heights, 1
Stamford Barbershop, 1
BevMax, 1
Tokeneke Elementary School, 1
Fairfield Ludlowe High School, 1
252 CT-136, 1
Whole Foods Market, 1
12 Parsons Walk, 1
Scotland Elementary School, 1
Burgers Shakes and Fries, 1
