Month:8
Total Dates, Total Places
 30, 38
Place, Count
43 Blueberry Ln, 80
9 Shipway Rd(Rental), 18
Flashtalking(Work), 12
Goodwives Shopping Center, 6
Royle Elementary School(Football Practice), 5
Residence Inn by Marriott Philadelphia Glen Mills/Concordville, 5
CVS, 3
Bayley Beach, 3
Stamford Town Center, 3
Darien, 3
Shell, 3
Darien High School, 3
MSI, 3
Stop & Shop, 2
Glenbrook Shopping Center, 2
2 Stephanie Ln, 2
The Home Depot, 2
ONS Stamford, 2
99 Allen St, 2
ShopRite of Norwalk, 1
Laundry Room Greenwich CT, 1
P.C. Richard & Son, 1
2 Sylvan Rd, 1
BlueStreak Sports Training, 1
Michele Levy, OD, 1
Lowe's Home Improvement, 1
ZARA, 1
NORWALK MEDICAL CENTER, 1
291 Carter St, 1
Gulf, 1
9 Hunt Rd, 1
A Ryuji Funakoshi, 1
Darinor Plaza, 1
Splash Car Wash, 1
Post Road Plaza, 1
Concordville Town Centre, 1
Glen Eagle Square, 1
Larkin's Corner, 1
