Month:1
Total Dates, Total Places
 30, 43
Place, Count
9 Shipway Rd(Rental), 77
Dermatologist(Contract Work), 29
Darien Sport Shop, 6
Middlesex Middle School, 5
Darien High School, 5
43 Blueberry Ln, 5
Darinor Plaza, 4
ShopRite of Shippan Ave- Stamford, CT, 3
Darien, 3
Glenbrook Shopping Center, 3
Goodwives Shopping Center, 3
Weed Beach Tennis, 3
DoubleTree by Hilton Hotel Norwalk, 2
The Home Depot, 2
Noroton Heights, 2
Colony Grill, 2
Shake Shack, 1
2 Mansfield Pl, 1
Garcia's Flower Shop, 1
FedEx Office Print & Ship Center, 1
BonBon Hair Studio, 1
ShopRite of Norwalk, 1
Jennifer's Kitchen @ White Bridge, 1
Piedmont Associates Inc, 1
The Melting Pot, 1
Stamford Town Center, 1
Walmart, 1
Weed Beach, 1
E Putnam Ave and Strickland Rd, 1
Taco Bell, 1
121 Middlesex Rd, 1
Stamford Barbershop, 1
Bow Tie Cinemas Regent, 1
The Campus, 1
Stamford Hospital - Bennett Medical Center, 1
Revive Center For Wellness, 1
10 Wall Street, 1
Children's Medical Group of Greenwich, 1
Ox Ridge Elementary School, 1
Darien Valero, 1
Flashtalking, Inc., 1
Casa Villa Restaurant, 1
Lowe's Home Improvement, 1
