Month:6
Total Dates, Total Places
 32, 43
Place, Count
43 Blueberry Ln, 83
9 Shipway Rd(Rental), 46
Royle Elementary School(Camp), 9
Waveny Park, 5
Vibe Fitness, 5
Stop & Shop, 5
Roton Point, 4
Darien, 3
Darien High School, 3
Dr. Gallois Orthodontics, 3
Connecticut Sportsplex, 3
138 Ridgefield Rd, 3
Enterprise Rent-A-Car, 2
The Home Depot, 2
Wooster School, 2
Toyota of Stamford, 2
Wetmore's Chrysler Jeep Dodge RAM, 2
NORWALK MEDICAL CENTER, 1
Hindley Elementary School, 1
Cafe Silvium, 1
United States Postal Service, 1
Fresh Green Light Driving School, 1
Danny's Cycles Darien, 1
Briggs Tire, 1
Chase Bank, 1
157 Parmelee Hill Rd, 1
Shipway Road, 1
McDonald's, 1
CALVERT CITGO, 1
Calvert Regional Park, 1
Playa Bowls, 1
Ring's End, 1
CVS, 1
ShopRite of East Haven, 1
JCakes, 1
Anthony John's Pizzeria, 1
Danbury Fair, 1
9 Colony Rd, 1
27 Ox Ridge Ln, 1
H & L Chevrolet, 1
Gofer Ice Cream, 1
Chick-fil-A, 1
Goodwives Shopping Center, 1
