Month:5
Total Dates, Total Places
 29, 25
Place, Count
43 Blueberry Ln, 53
9 Shipway Rd(Rental), 38
Darien, 5
Roton Point, 5
The Home Depot, 3
Waveny Park, 3
Stop & Shop, 2
Goodwives Shopping Center, 2
Chipotle Mexican Grill, 2
Jennifer's Kitchen @ White Bridge, 2
SPRINGDALE SHOPPING CENTER, 1
Scoops & Smiles Ice Cream Shop, 1
Danny's Cycles Darien, 1
Johnny's & Company, 1
Gofer Ice Cream, 1
Camp Avenue Car Wash, 1
ShopRite of Commerce St.-Stamford, CT, 1
Glenbrook Shopping Center, 1
Walgreens, 1
2075 Boston Post Rd, 1
Post Road Plaza, 1
NORWALK MEDICAL CENTER, 1
Heights Pizza Company, 1
Stamford Health - Tully Health Center, 1
CVS, 1
