Month:2
Total Dates, Total Places
 27, 42
Place, Count
9 Shipway Rd(Rental), 63
Dermatologist(Contract work), 14
43 Blueberry Ln, 8
Goodwives Shopping Center, 5
Noroton Heights, 5
Darien High School, 5
Darien, 3
Middlesex Middle School, 2
The Home Depot, 2
ShopRite of Shippan Ave- Stamford, CT, 2
Nick's Pizza, 1
Woodland Park, 1
Springdale Barber Shop, 1
Mystique Stamford, 1
Stamford Health - Tully Health Center, 1
Andrew Shaw Memorial Scout Cabin, 1
Quest Diagnostics Darien, 1
Taco Bell, 1
Darien Sport Shop, 1
Holly Pond Plaza, 1
FedEx Office Print & Ship Center, 1
Winfield Street Coffee - Stamford, 1
Darien Library, 1
Sinigual, 1
42 St-Bryant Park Station, 1
Grand Central Terminal, 1
Walmart, 1
DICK'S Sporting Goods, 1
The Hideaway Kitchen & Bar, 1
Hindley Elementary School, 1
151 West Ave, 1
Deborah Noonan, 1
Starbucks, 1
9 Loughlin Ave, 1
70 Sinawoy Rd, 1
Bruce Park Grill, 1
59 Sinawoy Rd, 1
Darinor Plaza, 1
50 Washington St, 1
Shake Shack, 1
CVS, 1
Glenbrook Shopping Center, 1
