Year, Month, Total Dates, Total Miles, Avg Mile/Day
2019, Sep, 30, 663.9703999999996, 22.13
2019, Oct, 31, 869.50366, 28.05
2019, Nov, 31, 1236.3926, 39.88
2019, Dec, 32, 973.4302000000004, 30.42
2020, Jan, 31, 585.3153699999998, 18.88
2020, Feb, 30, 566.3122209999999, 18.88
2020, Mar, 27, 521.6909999999997, 19.32
2020, Apr, 24, 272.0920000000001, 11.34
2020, May, 25, 295.9359999999999, 11.84
2020, Jun, 28, 551.3840000000002, 19.69
2020, Jul, 32, 1378.2529999999995, 43.07
2020, Aug, 30, 1049.4259999999997, 34.98
2020, Sep, 31, 1157.2059600000005, 37.33
2019, Oct, 32, 621.23571, 19.41
2020, Dec, 30, 545.311, 18.18
2020, Jan, 31, 585.3153699999998, 18.88
