Year,Month,Total Dates, Total Places
 2019,Sep,30, 39
 2019,Oct,31, 39
 2019,Nov,31, 44
 2019,Dec,32, 61
 2020,Jan,31, 47
 2020,Feb,30, 43
 2020,Mar,27, 42
 2020,Apr,25, 11
 2020,May,25, 12
 2020,Jun,29, 25
 2020,Jul,32, 43
 2020,Aug,30, 38
 2020,Sep,31, 51
 2019,Oct,32, 42
 2020,Dec,30, 36
 2020,Jan,31, 47
Year,Month,Place, Count
2019, Sep, 43 Blueberry Ln, 72
2019, Sep, Dermatologist(Contract Work), 29
2019, Sep, Darien High School, 10
2019, Sep, Casa Villa Restaurant, 9
2019, Sep, University of Connecticut-Stamford Campus, 9
2019, Sep, Royle Elementary School(Football Practice), 7
2019, Sep, Darien, 5
2019, Sep, McDonald's, 2
2019, Sep, 9 Shipway Rd(Rental), 2
2019, Sep, CVS, 2
2019, Sep, Revive Center For Wellness, 2
2019, Sep, Ox Ridge Elementary School, 2
2019, Sep, Standard, 1
2019, Sep, Saugatuck Elementary School, 1
2019, Sep, Crescendo Music, 1
2019, Sep, Cornell University Veterinary Specialists, 1
2019, Sep, Brooks Bros Contracting, 1
2019, Sep, Yale New Haven Children's Hospital Pediatric Specialty Center - Norwalk, 1
2019, Sep, Shell, 1
2019, Sep, Walgreens, 1
2019, Sep, Fairfield University, 1
2019, Sep, Shake Shack, 1
2019, Sep, Tiger Hollow Stadium, 1
2019, Sep, Goodwives River, 1
2019, Sep, Chelsea Piers Fitness, 1
2019, Sep, Rinaldi's Deli Grill, 1
2019, Sep, Piedmont Associates Inc, 1
2019, Sep, Riko's Pizza, 1
2019, Sep, Vinny's Backyard Restaurant and Bar, 1
2019, Sep, Noroton Heights, 1
2019, Sep, Stamford Barbershop, 1
2019, Sep, BevMax, 1
2019, Sep, Tokeneke Elementary School, 1
2019, Sep, Fairfield Ludlowe High School, 1
2019, Sep, 252 CT-136, 1
2019, Sep, Whole Foods Market, 1
2019, Sep, 12 Parsons Walk, 1
2019, Sep, Scotland Elementary School, 1
2019, Sep, Burgers Shakes and Fries, 1
2019, Oct, 43 Blueberry Ln, 82
2019, Oct, 9 Shipway Rd(Rental), 41
2019, Oct, Dermatologist(Contract Work), 21
2019, Oct, Royle Elementary School, 10
2019, Oct, University of Connecticut-Stamford Campus, 9
2019, Oct, The Home Depot, 7
2019, Oct, Ring's End, 6
2019, Oct, Revive Center For Wellness, 4
2019, Oct, Darien, 3
2019, Oct, Darien High School, 2
2019, Oct, 9 Shipway Rd(Rental)), 2
2019, Oct, Walgreens, 2
2019, Oct, Casa Villa Restaurant, 2
2019, Oct, Greenwich High School, 2
2019, Oct, Ambrogio, Pletter & Associates, LLC, 2
2019, Oct, Ox Ridge Elementary School, 1
2019, Oct, Sunshine Cuisine, 1
2019, Oct, Darien Diner, 1
2019, Oct, Goodwives Shopping Center, 1
2019, Oct, Vinny's Backyard Restaurant and Bar, 1
2019, Oct, Tokeneke Elementary School, 1
2019, Oct, I-95 Fairfield Ct Service Plaza, 1
2019, Oct, Shell, 1
2019, Oct, Hoyt Cemetery, 1
2019, Oct, Mama Carmela's Deli, 1
2019, Oct, 17 Plymouth Rd, 1
2019, Oct, Stamford Hospital - Bennett Medical Center, 1
2019, Oct, 28 Intervale Rd, 1
2019, Oct, CVS, 1
2019, Oct, BonBon Hair Studio, 1
2019, Oct, Darien Valero, 1
2019, Oct, Stamford Plaza, 1
2019, Oct, Darien Sport Shop, 1
2019, Oct, I-95 Darien NB Service Plaza, 1
2019, Oct, Staples High School, 1
2019, Oct, Glory Days Diner, 1
2019, Oct, Starbucks, 1
2019, Oct, Darien Town Hall, 1
2019, Oct, AutoZone Auto Parts, 1
2019, Nov, 9 Shipway Rd(Rental), 51
2019, Nov, 43 Blueberry Ln, 39
2019, Nov, Dermatologist(Contract Work), 25
2019, Nov, University of Connecticut-Stamford Campus, 9
2019, Nov, Darien High School, 6
2019, Nov, Darien, 5
2019, Nov, Ring's End, 4
2019, Nov, Vinny's Backyard Restaurant and Bar, 3
2019, Nov, The Home Depot, 3
2019, Nov, Casa Villa Restaurant, 3
2019, Nov, 4 Christie Hill Rd, 2
2019, Nov, Walgreens, 2
2019, Nov, Hair Bow Beauty Supply, 2
2019, Nov, Subway, 2
2019, Nov, 99 Allen St, 2
2019, Nov, Ambrogio, Pletter & Associates, LLC, 1
2019, Nov, Fairfield Warde High School, 1
2019, Nov, Chick-fil-A, 1
2019, Nov, Donut Delight, 1
2019, Nov, Dental Permanente of Stamford, 1
2019, Nov, Shell, 1
2019, Nov, St. Thomas More Church, 1
2019, Nov, 20 Plymouth Rd, 1
2019, Nov, MathWorks – Apple Hill Campus, 1
2019, Nov, The Center at Hobbs Brook, 1
2019, Nov, Shake Shack, 1
2019, Nov, Staples High School, 1
